Rank,Player,Position,Team,Games,Goals,Penalties,Goals/Games
121,Фернандес Энцо,Полузащитник,Челси,18,2,1,0.11
122,Айю Жордан,Нападающий,Кристал Пэлас,19,2,0,0.11
123,Биллинг Филипп,Полузащитник,Борнмут,19,2,0,0.11
124,Габриэль,Защитник,Арсенал,19,2,0,0.11
125,Хамер Густаво,Полузащитник,Шеффилд Юн,19,2,0,0.11
126,Собослаи Доминик,Полузащитник,Ливерпуль,20,2,0,0.10
127,Гиббс-Уайт Морган,Полузащитник,Ноттингем Форест,20,2,1,0.10
128,Андерсен Йоаким,Защитник,Кристал Пэлас,21,2,0,0.10
129,Уилсон Гарри,Полузащитник,Фулхэм,21,2,0,0.10
130,Бреретон Бен,Нападающий,Шеффилд Юн,1,1,0,1.00
131,Тоуни Айвен,Нападающий,Брентфорд,1,1,0,1.00
132,Де Брюйне Кевин,Полузащитник,Манчестер Сити,2,1,0,0.50
133,Корне Максвел,Нападающий,Вест Хэм,2,1,0,0.50
134,Гомеш Андре,Полузащитник,Эвертон,3,1,0,0.33
135,Нкунку Кристофер,Нападающий,Челси,3,1,0,0.33
136,Чуквуемека Кэрни,Полузащитник,Челси,3,1,0,0.33
137,Межбри Ганнибал,Полузащитник,Ман Юнайтед,5,1,0,0.20
138,Мерфи Джейкоб,Полузащитник,Ньюкасл,5,1,0,0.20
139,Шаде Кевин,Полузащитник,Брентфорд,5,1,0,0.20
140,Баптист Шендон,Полузащитник,Брентфорд,6,1,0,0.17
141,Барнс Харви,Полузащитник,Ньюкасл,6,1,0,0.17
142,Бентанкур Родриго,Полузащитник,Тоттенхэм,6,1,0,0.17
143,Доббин Льюис,Нападающий,Эвертон,6,1,0,0.17
144,Бобб Оскар,Полузащитник,Манчестер Сити,7,1,0,0.14
145,Кин Майкл,Защитник,Эвертон,7,1,0,0.14
146,Скотт Алекс,Полузащитник,Борнмут,7,1,0,0.14
147,Андерсен Мадс,Защитник,Лутон Таун,8,1,0,0.13
148,Велиз Алехо,Нападающий,Тоттенхэм,8,1,0,0.13
149,Дендонкер Леандер,Полузащитник,Астон Вилла,8,1,0,0.13
150,Каземиро,Полузащитник,Ман Юнайтед,8,1,0,0.13
Rank,Player,Position,Team,Games,Goals,Penalties,Goals/Games
151,Мавропанос Константинос,Защитник,Вест Хэм,8,1,0,0.13
152,Морено Алехандро,Защитник,Астон Вилла,8,1,0,0.13
153,Мур Киффер,Нападающий,Борнмут,8,1,0,0.13
154,Робертсон Эндрю,Защитник,Ливерпуль,8,1,0,0.13
155,Тонали Сандро,Полузащитник,Ньюкасл,8,1,0,0.13
156,Виейра Фабио,Полузащитник,Арсенал,8,1,1,0.13
157,Адарабиойо Тосин,Защитник,Фулхэм,9,1,0,0.11
158,Льюис Рико,Защитник,Манчестер Сити,9,1,0,0.11
159,Тете Кенни,Защитник,Фулхэм,9,1,0,0.11
160,Майли Льюис,Полузащитник,Ньюкасл,10,1,0,0.10
161,Ошо Габриэль,Защитник,Лутон Таун,10,1,0,0.10
162,Рэмзи Джейкоб,Полузащитник,Астон Вилла,10,1,0,0.10
163,ван де Вен Мики,Защитник,Тоттенхэм,12,1,0,0.08
164,Варан Рафаэль,Защитник,Ман Юнайтед,12,1,0,0.08
165,Линделёф Виктор,Защитник,Ман Юнайтед,12,1,0,0.08
166,Нету Педру,Нападающий,Вулверхэмптон,12,1,0,0.08
167,Таунсенд Эндрос,Полузащитник,Лутон Таун,12,1,0,0.08
168,Хадсон-Одои Каллум,Нападающий,Ноттингем Форест,12,1,0,0.08
169,Бройя Армандо,Нападающий,Челси,13,1,0,0.08
170,Брукс Давид,Полузащитник,Борнмут,13,1,0,0.08
171,Буананотте Факундо,Полузащитник,Брайтон,13,1,0,0.08
172,Груневельд Арно,Нападающий,Эвертон,13,1,0,0.08
173,Джонс Кертис,Полузащитник,Ливерпуль,13,1,0,0.08
174,Марсьяль Антони,Нападающий,Ман Юнайтед,13,1,0,0.08
175,Рим Тим,Защитник,Фулхэм,13,1,0,0.08
176,Томиясу Такехиро,Защитник,Арсенал,13,1,0,0.08
177,Тоффоло Гарри,Защитник,Ноттингем Форест,13,1,0,0.08
178,Айна Ола,Защитник,Ноттингем Форест,14,1,0,0.07
179,Гейе Идрисса,Полузащитник,Эвертон,14,1,0,0.07
180,Годдос Саман,Нападающий,Брентфорд,14,1,0,0.07
181,Данило,Полузащитник,Ноттингем Форест,14,1,0,0.07
182,Дзаньоло Николо,Полузащитник,Астон Вилла,14,1,0,0.07
183,Дэвис Бен,Защитник,Тоттенхэм,14,1,0,0.07
184,Лассельс Джамаал,Защитник,Ньюкасл,14,1,0,0.07
185,Локайер Том,Защитник,Лутон Таун,14,1,0,0.07
186,Сарабия Пабло,Полузащитник,Вулверхэмптон,14,1,0,0.07
187,Ахмедходжич Анел,Защитник,Шеффилд Юн,15,1,0,0.07
188,Боли Вилли,Защитник,Ноттингем Форест,15,1,0,0.07
189,Доэрти Мэтт,Защитник,Вулверхэмптон,15,1,0,0.07
190,Колеошо Лука,Нападающий,Бернли,15,1,0,0.07
191,Менги Теден,Защитник,Лутон Таун,15,1,0,0.07
192,Эндо Ватару,Полузащитник,Ливерпуль,15,1,0,0.07
193,Эриксен Кристиан,Полузащитник,Ман Юнайтед,15,1,0,0.07
194,Агер Наиф,Защитник,Вест Хэм,16,1,0,0.06
195,Бето,Нападающий,Эвертон,16,1,0,0.06
196,Коллинз Натан,Защитник,Брентфорд,16,1,0,0.06
197,МакАллистер Алексис,Полузащитник,Ливерпуль,16,1,0,0.06
198,Тэйлор Чарли,Защитник,Бернли,16,1,0,0.06
199,Чонг Тахит,Полузащитник,Лутон Таун,16,1,0,0.06
200,Эмерсон,Защитник,Тоттенхэм,16,1,0,0.06
